[2015-02-10 10:14:05] Memulai Prefill. 
[2015-02-10 10:14:05] Mencari file. 
[2015-02-10 10:14:06] Ekstrak file. 
[2015-02-10 10:14:14] Eksekusi data [0.42%] 
[2015-02-10 10:14:16] Eksekusi data [0.84%] 
[2015-02-10 10:14:18] Eksekusi data [1.25%] 
[2015-02-10 10:14:20] Eksekusi data [1.67%] 
[2015-02-10 10:14:23] Eksekusi data [2.09%] 
[2015-02-10 10:14:26] Eksekusi data [2.51%] 
[2015-02-10 10:14:29] Eksekusi data [2.93%] 
[2015-02-10 10:14:33] Eksekusi data [3.35%] 
[2015-02-10 10:14:36] Eksekusi data [3.76%] 
[2015-02-10 10:14:39] Eksekusi data [4.18%] 
[2015-02-10 10:14:42] Eksekusi data [4.6%] 
[2015-02-10 10:14:44] Eksekusi data [5.02%] 
[2015-02-10 10:14:46] Eksekusi data [5.44%] 
[2015-02-10 10:14:49] Eksekusi data [5.86%] 
[2015-02-10 10:14:51] Eksekusi data [6.27%] 
[2015-02-10 10:14:54] Eksekusi data [6.69%] 
[2015-02-10 10:14:56] Eksekusi data [7.11%] 
[2015-02-10 10:14:58] Eksekusi data [7.53%] 
[2015-02-10 10:15:00] Eksekusi data [7.95%] 
[2015-02-10 10:15:02] Eksekusi data [8.37%] 
[2015-02-10 10:15:03] Eksekusi data [8.78%] 
[2015-02-10 10:15:05] Eksekusi data [9.2%] 
[2015-02-10 10:15:17] Eksekusi data [9.62%] 
[2015-02-10 10:15:20] Eksekusi data [10.04%] 
[2015-02-10 10:15:22] Eksekusi data [10.46%] 
[2015-02-10 10:15:24] Eksekusi data [10.87%] 
[2015-02-10 10:15:26] Eksekusi data [11.29%] 
[2015-02-10 10:15:27] Eksekusi data [11.71%] 
[2015-02-10 10:15:29] Eksekusi data [12.13%] 
[2015-02-10 10:15:31] Eksekusi data [12.55%] 
[2015-02-10 10:15:32] Eksekusi data [12.97%] 
[2015-02-10 10:15:34] Eksekusi data [13.38%] 
[2015-02-10 10:15:35] Eksekusi data [13.8%] 
[2015-02-10 10:15:37] Eksekusi data [14.22%] 
[2015-02-10 10:15:38] Eksekusi data [14.64%] 
[2015-02-10 10:15:40] Eksekusi data [15.06%] 
[2015-02-10 10:15:42] Eksekusi data [15.48%] 
[2015-02-10 10:15:43] Eksekusi data [15.89%] 
[2015-02-10 10:15:45] Eksekusi data [16.31%] 
[2015-02-10 10:15:46] Eksekusi data [16.73%] 
[2015-02-10 10:15:48] Eksekusi data [17.15%] 
[2015-02-10 10:15:50] Eksekusi data [17.57%] 
[2015-02-10 10:15:51] Eksekusi data [17.99%] 
[2015-02-10 10:15:53] Eksekusi data [18.4%] 
[2015-02-10 10:15:54] Eksekusi data [18.82%] 
[2015-02-10 10:15:56] Eksekusi data [19.24%] 
[2015-02-10 10:15:58] Eksekusi data [19.66%] 
[2015-02-10 10:15:59] Eksekusi data [20.08%] 
