[2015-06-15 08:28:53] Memulai Prefill. 
[2015-06-15 08:28:53] Mencari file. 
[2015-06-15 08:28:53] Ekstrak file. 
[2015-06-15 08:28:56] Eksekusi data [2.55%] 
[2015-06-15 08:28:58] Eksekusi data [5.1%] 
[2015-06-15 08:29:00] Eksekusi data [7.66%] 
[2015-06-15 08:29:03] Eksekusi data [10.21%] 
[2015-06-15 08:29:06] Eksekusi data [12.76%] 
[2015-06-15 08:29:08] Eksekusi data [15.31%] 
[2015-06-15 08:29:10] Eksekusi data [17.87%] 
[2015-06-15 08:29:12] Eksekusi data [20.42%] 
[2015-06-15 08:29:14] Eksekusi data [22.97%] 
[2015-06-15 08:29:16] Eksekusi data [25.52%] 
[2015-06-15 08:29:18] Eksekusi data [28.08%] 
[2015-06-15 08:29:20] Eksekusi data [30.63%] 
[2015-06-15 08:29:21] Eksekusi data [33.18%] 
[2015-06-15 08:29:23] Eksekusi data [35.73%] 
[2015-06-15 08:29:25] Eksekusi data [38.28%] 
[2015-06-15 08:29:26] Eksekusi data [40.84%] 
[2015-06-15 08:29:28] Eksekusi data [43.39%] 
[2015-06-15 08:29:30] Eksekusi data [45.94%] 
[2015-06-15 08:29:33] Eksekusi data [48.49%] 
[2015-06-15 08:29:47] Eksekusi data [51.05%] 
[2015-06-15 08:29:51] Eksekusi data [53.6%] 
[2015-06-15 08:29:53] Eksekusi data [56.15%] 
[2015-06-15 08:29:55] Eksekusi data [58.7%] 
[2015-06-15 08:29:57] Eksekusi data [61.26%] 
[2015-06-15 08:29:59] Eksekusi data [63.81%] 
[2015-06-15 08:30:01] Eksekusi data [66.36%] 
[2015-06-15 08:30:03] Eksekusi data [68.91%] 
[2015-06-15 08:30:05] Eksekusi data [71.47%] 
[2015-06-15 08:30:07] Eksekusi data [74.02%] 
[2015-06-15 08:30:08] Eksekusi data [76.57%] 
[2015-06-15 08:30:10] Eksekusi data [79.12%] 
[2015-06-15 08:30:12] Eksekusi data [81.67%] 
[2015-06-15 08:30:13] Eksekusi data [84.23%] 
[2015-06-15 08:30:15] Eksekusi data [86.78%] 
[2015-06-15 08:30:17] Eksekusi data [89.33%] 
[2015-06-15 08:30:19] Eksekusi data [91.88%] 
[2015-06-15 08:30:20] Eksekusi data [94.44%] 
[2015-06-15 08:30:22] Eksekusi data [96.99%] 
[2015-06-15 08:30:23] Eksekusi data [99.54%] 
