[2015-06-15 08:31:35] Memulai Prefill. 
[2015-06-15 08:31:35] Mencari file. 
[2015-06-15 08:31:35] Ekstrak file. 
[2015-06-15 08:31:42] Eksekusi data [0.39%] 
[2015-06-15 08:31:44] Eksekusi data [0.79%] 
[2015-06-15 08:31:46] Eksekusi data [1.18%] 
[2015-06-15 08:31:48] Eksekusi data [1.57%] 
[2015-06-15 08:31:51] Eksekusi data [1.97%] 
[2015-06-15 08:31:54] Eksekusi data [2.36%] 
[2015-06-15 08:31:57] Eksekusi data [2.76%] 
[2015-06-15 08:32:00] Eksekusi data [3.15%] 
[2015-06-15 08:32:03] Eksekusi data [3.54%] 
[2015-06-15 08:32:06] Eksekusi data [3.94%] 
[2015-06-15 08:32:08] Eksekusi data [4.33%] 
[2015-06-15 08:32:11] Eksekusi data [4.72%] 
[2015-06-15 08:32:13] Eksekusi data [5.12%] 
[2015-06-15 08:32:15] Eksekusi data [5.51%] 
[2015-06-15 08:32:17] Eksekusi data [5.91%] 
[2015-06-15 08:32:19] Eksekusi data [6.3%] 
[2015-06-15 08:32:21] Eksekusi data [6.69%] 
[2015-06-15 08:32:23] Eksekusi data [7.09%] 
[2015-06-15 08:32:25] Eksekusi data [7.48%] 
[2015-06-15 08:32:27] Eksekusi data [7.87%] 
[2015-06-15 08:32:29] Eksekusi data [8.27%] 
[2015-06-15 08:32:31] Eksekusi data [8.66%] 
[2015-06-15 08:32:32] Eksekusi data [9.06%] 
[2015-06-15 08:32:34] Eksekusi data [9.45%] 
[2015-06-15 08:32:35] Eksekusi data [9.84%] 
[2015-06-15 08:32:48] Eksekusi data [10.24%] 
[2015-06-15 08:32:50] Eksekusi data [10.63%] 
[2015-06-15 08:32:51] Eksekusi data [11.02%] 
[2015-06-15 08:32:53] Eksekusi data [11.42%] 
[2015-06-15 08:32:55] Eksekusi data [11.81%] 
[2015-06-15 08:32:56] Eksekusi data [12.21%] 
[2015-06-15 08:32:58] Eksekusi data [12.6%] 
[2015-06-15 08:32:59] Eksekusi data [12.99%] 
[2015-06-15 08:33:01] Eksekusi data [13.39%] 
[2015-06-15 08:33:02] Eksekusi data [13.78%] 
[2015-06-15 08:33:04] Eksekusi data [14.17%] 
[2015-06-15 08:33:05] Eksekusi data [14.57%] 
[2015-06-15 08:33:07] Eksekusi data [14.96%] 
[2015-06-15 08:33:08] Eksekusi data [15.36%] 
[2015-06-15 08:33:10] Eksekusi data [15.75%] 
[2015-06-15 08:33:11] Eksekusi data [16.14%] 
[2015-06-15 08:33:13] Eksekusi data [16.54%] 
[2015-06-15 08:33:15] Eksekusi data [16.93%] 
[2015-06-15 08:33:16] Eksekusi data [17.32%] 
[2015-06-15 08:33:18] Eksekusi data [17.72%] 
[2015-06-15 08:33:19] Eksekusi data [18.11%] 
[2015-06-15 08:33:21] Eksekusi data [18.51%] 
[2015-06-15 08:33:22] Eksekusi data [18.9%] 
[2015-06-15 08:33:24] Eksekusi data [19.29%] 
[2015-06-15 08:33:26] Eksekusi data [19.69%] 
[2015-06-15 08:33:27] Eksekusi data [20.08%] 
[2015-06-15 08:33:29] Eksekusi data [20.47%] 
[2015-06-15 08:33:30] Eksekusi data [20.87%] 
[2015-06-15 08:33:32] Eksekusi data [21.26%] 
[2015-06-15 08:33:33] Eksekusi data [21.65%] 
[2015-06-15 08:33:35] Eksekusi data [22.05%] 
[2015-06-15 08:33:37] Eksekusi data [22.44%] 
[2015-06-15 08:33:38] Eksekusi data [22.84%] 
[2015-06-15 08:33:40] Eksekusi data [23.23%] 
[2015-06-15 08:33:41] Eksekusi data [23.62%] 
[2015-06-15 08:33:43] Eksekusi data [24.02%] 
[2015-06-15 08:33:44] Eksekusi data [24.41%] 
[2015-06-15 08:33:46] Eksekusi data [24.8%] 
[2015-06-15 08:33:47] Eksekusi data [25.2%] 
[2015-06-15 08:33:49] Eksekusi data [25.59%] 
[2015-06-15 08:33:50] Eksekusi data [25.99%] 
[2015-06-15 08:33:52] Eksekusi data [26.38%] 
[2015-06-15 08:33:54] Eksekusi data [26.77%] 
[2015-06-15 08:33:56] Eksekusi data [27.17%] 
[2015-06-15 08:33:57] Eksekusi data [27.56%] 
[2015-06-15 08:33:59] Eksekusi data [27.95%] 
[2015-06-15 08:34:05] Eksekusi data [28.35%] 
[2015-06-15 08:34:13] Eksekusi data [28.74%] 
[2015-06-15 08:34:15] Eksekusi data [29.14%] 
[2015-06-15 08:34:17] Eksekusi data [29.53%] 
[2015-06-15 08:34:18] Eksekusi data [29.92%] 
[2015-06-15 08:34:20] Eksekusi data [30.32%] 
[2015-06-15 08:34:22] Eksekusi data [30.71%] 
[2015-06-15 08:34:23] Eksekusi data [31.1%] 
[2015-06-15 08:34:25] Eksekusi data [31.5%] 
[2015-06-15 08:34:26] Eksekusi data [31.89%] 
[2015-06-15 08:34:28] Eksekusi data [32.29%] 
[2015-06-15 08:34:31] Eksekusi data [32.68%] 
[2015-06-15 08:34:32] Eksekusi data [33.07%] 
[2015-06-15 08:34:34] Eksekusi data [33.47%] 
[2015-06-15 08:34:36] Eksekusi data [33.86%] 
[2015-06-15 08:34:38] Eksekusi data [34.25%] 
[2015-06-15 08:34:40] Eksekusi data [34.65%] 
[2015-06-15 08:34:41] Eksekusi data [35.04%] 
[2015-06-15 08:34:43] Eksekusi data [35.44%] 
[2015-06-15 08:34:45] Eksekusi data [35.83%] 
[2015-06-15 08:34:47] Eksekusi data [36.22%] 
[2015-06-15 08:34:48] Eksekusi data [36.62%] 
[2015-06-15 08:34:50] Eksekusi data [37.01%] 
[2015-06-15 08:34:51] Eksekusi data [37.4%] 
[2015-06-15 08:34:53] Eksekusi data [37.8%] 
[2015-06-15 08:34:55] Eksekusi data [38.19%] 
[2015-06-15 08:34:57] Eksekusi data [38.58%] 
[2015-06-15 08:34:59] Eksekusi data [38.98%] 
[2015-06-15 08:35:01] Eksekusi data [39.37%] 
[2015-06-15 08:35:02] Eksekusi data [39.77%] 
[2015-06-15 08:35:04] Eksekusi data [40.16%] 
[2015-06-15 08:35:06] Eksekusi data [40.55%] 
[2015-06-15 08:35:13] Eksekusi data [40.95%] 
[2015-06-15 08:35:15] Eksekusi data [41.34%] 
[2015-06-15 08:35:17] Eksekusi data [41.73%] 
[2015-06-15 08:35:18] Eksekusi data [42.13%] 
[2015-06-15 08:35:20] Eksekusi data [42.52%] 
[2015-06-15 08:35:22] Eksekusi data [42.92%] 
[2015-06-15 08:35:23] Eksekusi data [43.31%] 
[2015-06-15 08:35:25] Eksekusi data [43.7%] 
[2015-06-15 08:35:27] Eksekusi data [44.1%] 
[2015-06-15 08:35:28] Eksekusi data [44.49%] 
[2015-06-15 08:35:30] Eksekusi data [44.88%] 
[2015-06-15 08:35:31] Eksekusi data [45.28%] 
[2015-06-15 08:35:33] Eksekusi data [45.67%] 
[2015-06-15 08:35:34] Eksekusi data [46.07%] 
[2015-06-15 08:35:36] Eksekusi data [46.46%] 
[2015-06-15 08:35:38] Eksekusi data [46.85%] 
[2015-06-15 08:35:39] Eksekusi data [47.25%] 
[2015-06-15 08:35:41] Eksekusi data [47.64%] 
[2015-06-15 08:35:43] Eksekusi data [48.03%] 
[2015-06-15 08:35:45] Eksekusi data [48.43%] 
[2015-06-15 08:35:46] Eksekusi data [48.82%] 
[2015-06-15 08:35:48] Eksekusi data [49.22%] 
[2015-06-15 08:35:50] Eksekusi data [49.61%] 
[2015-06-15 08:35:51] Eksekusi data [50%] 
[2015-06-15 08:35:53] Eksekusi data [50.4%] 
[2015-06-15 08:35:55] Eksekusi data [50.79%] 
[2015-06-15 08:35:57] Eksekusi data [51.18%] 
[2015-06-15 08:35:58] Eksekusi data [51.58%] 
[2015-06-15 08:36:00] Eksekusi data [51.97%] 
[2015-06-15 08:36:02] Eksekusi data [52.37%] 
[2015-06-15 08:36:09] Eksekusi data [52.76%] 
[2015-06-15 08:36:11] Eksekusi data [53.15%] 
[2015-06-15 08:36:13] Eksekusi data [53.55%] 
[2015-06-15 08:36:14] Eksekusi data [53.94%] 
[2015-06-15 08:36:16] Eksekusi data [54.33%] 
[2015-06-15 08:36:17] Eksekusi data [54.73%] 
[2015-06-15 08:36:19] Eksekusi data [55.12%] 
[2015-06-15 08:36:21] Eksekusi data [55.52%] 
[2015-06-15 08:36:23] Eksekusi data [55.91%] 
[2015-06-15 08:36:24] Eksekusi data [56.3%] 
[2015-06-15 08:36:26] Eksekusi data [56.7%] 
[2015-06-15 08:36:28] Eksekusi data [57.09%] 
[2015-06-15 08:36:29] Eksekusi data [57.48%] 
[2015-06-15 08:36:31] Eksekusi data [57.88%] 
[2015-06-15 08:36:33] Eksekusi data [58.27%] 
[2015-06-15 08:36:35] Eksekusi data [58.66%] 
[2015-06-15 08:36:36] Eksekusi data [59.06%] 
[2015-06-15 08:36:38] Eksekusi data [59.45%] 
[2015-06-15 08:36:47] Eksekusi data [59.85%] 
[2015-06-15 08:36:51] Eksekusi data [60.24%] 
[2015-06-15 08:36:53] Eksekusi data [60.63%] 
[2015-06-15 08:36:55] Eksekusi data [61.03%] 
[2015-06-15 08:36:56] Eksekusi data [61.42%] 
[2015-06-15 08:36:58] Eksekusi data [61.81%] 
[2015-06-15 08:37:00] Eksekusi data [62.21%] 
[2015-06-15 08:37:01] Eksekusi data [62.6%] 
[2015-06-15 08:37:03] Eksekusi data [63%] 
[2015-06-15 08:37:04] Eksekusi data [63.39%] 
[2015-06-15 08:37:06] Eksekusi data [63.78%] 
[2015-06-15 08:37:08] Eksekusi data [64.18%] 
[2015-06-15 08:37:09] Eksekusi data [64.57%] 
[2015-06-15 08:37:11] Eksekusi data [64.96%] 
[2015-06-15 08:37:12] Eksekusi data [65.36%] 
[2015-06-15 08:37:14] Eksekusi data [65.75%] 
[2015-06-15 08:37:16] Eksekusi data [66.15%] 
[2015-06-15 08:37:17] Eksekusi data [66.54%] 
[2015-06-15 08:37:26] Eksekusi data [66.93%] 
[2015-06-15 08:37:28] Eksekusi data [67.33%] 
[2015-06-15 08:37:30] Eksekusi data [67.72%] 
[2015-06-15 08:37:32] Eksekusi data [68.11%] 
[2015-06-15 08:37:33] Eksekusi data [68.51%] 
[2015-06-15 08:37:35] Eksekusi data [68.9%] 
[2015-06-15 08:37:37] Eksekusi data [69.3%] 
[2015-06-15 08:37:38] Eksekusi data [69.69%] 
[2015-06-15 08:37:40] Eksekusi data [70.08%] 
