[2015-06-15 08:25:29] Memulai Prefill. 
[2015-06-15 08:25:29] Mencari file. 
[2015-06-15 08:25:29] Ekstrak file. 
[2015-06-15 08:25:35] Eksekusi data [1.91%] 
[2015-06-15 08:25:37] Eksekusi data [3.82%] 
[2015-06-15 08:25:41] Eksekusi data [5.72%] 
[2015-06-15 08:25:45] Eksekusi data [7.63%] 
[2015-06-15 08:25:49] Eksekusi data [9.54%] 
[2015-06-15 08:25:52] Eksekusi data [11.45%] 
[2015-06-15 08:25:54] Eksekusi data [13.35%] 
[2015-06-15 08:25:56] Eksekusi data [15.26%] 
[2015-06-15 08:25:58] Eksekusi data [17.17%] 
[2015-06-15 08:25:59] Eksekusi data [19.08%] 
[2015-06-15 08:26:01] Eksekusi data [20.98%] 
[2015-06-15 08:26:03] Eksekusi data [22.89%] 
[2015-06-15 08:26:06] Eksekusi data [24.8%] 
[2015-06-15 08:26:12] Eksekusi data [26.71%] 
[2015-06-15 08:26:16] Eksekusi data [28.62%] 
[2015-06-15 08:26:18] Eksekusi data [30.52%] 
[2015-06-15 08:26:21] Eksekusi data [32.43%] 
[2015-06-15 08:26:24] Eksekusi data [34.34%] 
[2015-06-15 08:26:26] Eksekusi data [36.25%] 
[2015-06-15 08:26:28] Eksekusi data [38.15%] 
[2015-06-15 08:26:30] Eksekusi data [40.06%] 
[2015-06-15 08:26:32] Eksekusi data [41.97%] 
[2015-06-15 08:26:34] Eksekusi data [43.88%] 
[2015-06-15 08:26:36] Eksekusi data [45.78%] 
[2015-06-15 08:26:39] Eksekusi data [47.69%] 
[2015-06-15 08:26:41] Eksekusi data [49.6%] 
[2015-06-15 08:26:43] Eksekusi data [51.51%] 
[2015-06-15 08:26:45] Eksekusi data [53.41%] 
[2015-06-15 08:26:47] Eksekusi data [55.32%] 
[2015-06-15 08:26:50] Eksekusi data [57.23%] 
[2015-06-15 08:26:52] Eksekusi data [59.14%] 
[2015-06-15 08:26:54] Eksekusi data [61.05%] 
[2015-06-15 08:26:56] Eksekusi data [62.95%] 
[2015-06-15 08:26:59] Eksekusi data [64.86%] 
[2015-06-15 08:27:01] Eksekusi data [66.77%] 
[2015-06-15 08:27:03] Eksekusi data [68.68%] 
[2015-06-15 08:27:05] Eksekusi data [70.58%] 
[2015-06-15 08:27:07] Eksekusi data [72.49%] 
[2015-06-15 08:27:09] Eksekusi data [74.4%] 
[2015-06-15 08:27:11] Eksekusi data [76.31%] 
[2015-06-15 08:27:13] Eksekusi data [78.21%] 
[2015-06-15 08:27:15] Eksekusi data [80.12%] 
[2015-06-15 08:27:23] Eksekusi data [82.03%] 
[2015-06-15 08:27:31] Eksekusi data [83.94%] 
[2015-06-15 08:27:33] Eksekusi data [85.85%] 
[2015-06-15 08:27:35] Eksekusi data [87.75%] 
[2015-06-15 08:27:37] Eksekusi data [89.66%] 
[2015-06-15 08:27:40] Eksekusi data [91.57%] 
[2015-06-15 08:27:42] Eksekusi data [93.48%] 
[2015-06-15 08:27:44] Eksekusi data [95.38%] 
[2015-06-15 08:27:45] Eksekusi data [97.29%] 
[2015-06-15 08:27:48] Eksekusi data [99.2%] 
