[2015-02-10 10:09:19] Memulai Prefill. 
[2015-02-10 10:09:19] Mencari file. 
[2015-02-10 10:09:19] Ekstrak file. 
[2015-02-10 10:09:24] Eksekusi data [2.66%] 
[2015-02-10 10:09:26] Eksekusi data [5.32%] 
[2015-02-10 10:09:32] Eksekusi data [7.98%] 
[2015-02-10 10:09:35] Eksekusi data [10.63%] 
[2015-02-10 10:09:38] Eksekusi data [13.29%] 
[2015-02-10 10:09:41] Eksekusi data [15.95%] 
[2015-02-10 10:09:43] Eksekusi data [18.61%] 
[2015-02-10 10:09:45] Eksekusi data [21.27%] 
[2015-02-10 10:09:47] Eksekusi data [23.93%] 
[2015-02-10 10:09:49] Eksekusi data [26.59%] 
[2015-02-10 10:09:50] Eksekusi data [29.24%] 
[2015-02-10 10:09:52] Eksekusi data [31.9%] 
[2015-02-10 10:09:54] Eksekusi data [34.56%] 
[2015-02-10 10:09:55] Eksekusi data [37.22%] 
[2015-02-10 10:09:57] Eksekusi data [39.88%] 
[2015-02-10 10:09:58] Eksekusi data [42.54%] 
[2015-02-10 10:10:00] Eksekusi data [45.19%] 
[2015-02-10 10:10:02] Eksekusi data [47.85%] 
[2015-02-10 10:10:03] Eksekusi data [50.51%] 
[2015-02-10 10:10:05] Eksekusi data [53.17%] 
[2015-02-10 10:10:06] Eksekusi data [55.83%] 
[2015-02-10 10:10:08] Eksekusi data [58.49%] 
[2015-02-10 10:10:10] Eksekusi data [61.15%] 
[2015-02-10 10:10:11] Eksekusi data [63.8%] 
[2015-02-10 10:10:13] Eksekusi data [66.46%] 
[2015-02-10 10:10:14] Eksekusi data [69.12%] 
[2015-02-10 10:10:16] Eksekusi data [71.78%] 
[2015-02-10 10:10:17] Eksekusi data [74.44%] 
[2015-02-10 10:10:19] Eksekusi data [77.1%] 
[2015-02-10 10:10:20] Eksekusi data [79.76%] 
[2015-02-10 10:10:21] Eksekusi data [82.41%] 
[2015-02-10 10:10:23] Eksekusi data [85.07%] 
[2015-02-10 10:10:24] Eksekusi data [87.73%] 
[2015-02-10 10:10:26] Eksekusi data [90.39%] 
[2015-02-10 10:10:27] Eksekusi data [93.05%] 
[2015-02-10 10:10:29] Eksekusi data [95.71%] 
[2015-02-10 10:10:30] Eksekusi data [98.37%] 
